"Advanced SubStation Alpha Subtitle","ass"
"AQTitle Subtitle","aqt"
"AviSynth Script","avs"
"Cascading Style Sheets","css"
"Comma-Separated Values","csv"
"Configuration File","cfg"
"Extensible Markup Language","xml"
"Hypertext Markup Language Document","html"
"Hypertext Markup Language Document","htm"
"Log File","log"
"MD5 Checksum","md5"
"MicroDVD Subtitle","sub"
"PHP Script","php"
"Python Script","py"
"Python Script","pyw"
"SHA-1 Hash","sha1"
"Simple File Verification","sfv"
"SubRip Subtitle","srt"
"SubStation Alpha Subtitle","ssa"
"Text File","txt"
"Turbo Titler Subtitle","tts"
